score,total_mape,grid_year_mape,grade_total_mape,grade_year_mape,total_mae,grid_year_mae,grade_total_mae,grade_year_mae,runs,seed,turnover,first_child,second_child,third_child,student_exit,annual_first_birth,annual_second_birth,annual_third_birth,annual_fourth_plus_birth,tk8_exit,high_exit,special_exit,same_school_year,tkk_weight,elementary_weight,middle_weight,high_weight,special_weight
0.10571958243146459,0.029313257190612365,0.22752622183335314,0.028868200519399083,0.10284072181522051,181.9100000000002,103.98927777777779,180.41000000000008,46.56696428571429,50,477166,0.05,0.7,0.55,0.2,0,0.1,0.045,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1057513144595282,0.03073339372412775,0.2246474764318408,0.03029255574391668,0.10320360211184343,202.02749999999958,110.17749305555554,200.5274999999998,47.183571428571426,50,627627,0.05,0.75,0.55,0.2,0,0.08,0.045,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10581661649648545,0.03445572740794183,0.2161327763272455,0.034013926055478066,0.10450668601730759,220.56999999999982,102.2394861111111,219.06999999999982,47.17,50,564275,0.05,0.7,0.55,0.2,0,0.12,0.045,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10594010139544924,0.027695261144559686,0.23357218585054482,0.02725331629298975,0.10183417176394474,172.54999999999984,115.01627777777777,171.04999999999995,46.26589285714285,50,223758,0.045,0.75,0.55,0.2,0,0.08,0.045,0.004,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10594275031134764,0.03000617095162491,0.22680478552939692,0.02903031604461046,0.10315988383996157,181.735,106.45243055555557,176.505,46.26339285714286,50,152487,0.045,0.7,0.55,0.2,0,0.12,0.035,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1059806982428342,0.028004011470273746,0.23317176114992627,0.027562245257563053,0.10189028514353363,175.0700000000004,115.23469444444446,173.56999999999948,46.2025,50,239596,0.045,0.75,0.55,0.2,0,0.08,0.045,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10598396947617529,0.02652179374137506,0.23566642053533451,0.026079833793586384,0.10178829449339173,163.66999999999973,115.43415972222222,162.16999999999973,46.22232142857143,50,215839,0.045,0.75,0.55,0.2,0,0.08,0.035,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10598595192429958,0.029603059471790195,0.23070917219228826,0.028620365447622843,0.10192639928860975,178.625,107.59418750000002,173.3449999999998,45.84571428571428,50,144568,0.045,0.7,0.55,0.2,0,0.12,0.035,0.008,0,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.1060654043734055,0.03250571026724936,0.22478120560925668,0.032062560757109816,0.1027149003427587,205.66499999999974,103.58629166666665,204.1650000000003,46.59892857142857,50,532599,0.05,0.7,0.55,0.2,0,0.12,0.035,0.008,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
0.10608651039372773,0.0294787891844281,0.23627588923534967,0.029037636406555434,0.09997539158265872,186.1674999999998,113.99080555555557,184.66750000000002,45.4175,50,263353,0.045,0.75,0.55,0.2,0,0.1,0.035,0.004,0.0012,0,0,0,0.5,0.35,0.45,0.15,0.04,0.01
